service_url,verified,service_id,account,details_url,agencies/0/agency_id,agencies/0/agency_name,agencies/0/agency_url,organization,agencies/1/agency_id,agencies/1/agency_name,agencies/1/agency_url,agencies/2/agency_id,agencies/2/agency_name,agencies/2/agency_url
http://facebook.com/155262711206888,true,facebook,155262711206888,http://registry.usa.gov/accounts/facebook/155262711206888,archives,National Archives and Records Administration (NARA),http://www.archives.gov,National Archives Noon Lecture Series,,,,,,
http://facebook.com/156409127753466,true,facebook,156409127753466,http://registry.usa.gov/accounts/facebook/156409127753466,nps,National Park Service (NPS),http://www.nps.gov,Casa Grande Ruins National Monument,,,,,,
http://facebook.com/157950697596870,true,facebook,157950697596870,http://registry.usa.gov/accounts/facebook/157950697596870,gsa,General Services Administration (GSA),http://www.gsa.gov,GSA Auto Auctions,,,,,,
http://facebook.com/159778759845,true,facebook,159778759845,http://registry.usa.gov/accounts/facebook/159778759845,hhs,Department of Health and Human Services (HHS),http://www.hhs.gov,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,,,,,
http://facebook.com/160841183603,true,facebook,160841183603,http://registry.usa.gov/accounts/facebook/160841183603,state,Department of State,http://www.state.gov,U.S. Embassy - Lilongwe,,,,,,
http://facebook.com/163541773751871,true,facebook,163541773751871,http://registry.usa.gov/accounts/facebook/163541773751871,gsa,General Services Administration (GSA),http://www.gsa.gov,GSA Heartland,,,,,,
http://facebook.com/163763323658658,true,facebook,163763323658658,http://registry.usa.gov/accounts/facebook/163763323658658,state,Department of State,http://www.state.gov,American Corner - Struga,,,,,,
http://facebook.com/164487086904429,true,facebook,164487086904429,http://registry.usa.gov/accounts/facebook/164487086904429,state,Department of State,http://www.state.gov,"U.S. Embassy Rangoon, Consular Section",,,,,,
http://facebook.com/165624316823825,true,facebook,165624316823825,http://registry.usa.gov/accounts/facebook/165624316823825,defense,Department of Defense (DOD),http://www.defense.gov,"U.S. Army Corps of Engineers, New England District (Birch Hill Dam)",army,Department of the Army,http://www.army.mil/,,,
http://facebook.com/166149414713,true,facebook,166149414713,http://registry.usa.gov/accounts/facebook/166149414713,state,Department of State,http://www.state.gov,U.S. Consulate General - Tijuana,,,,,,
